date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:21:28	335/335	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Feb%202021%2021:21:28%20GMT	http://localhost/wordpress	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress.0.delayed	(from )
00:21:29	1054/1054	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Feb%202021%2021:21:28%20GMT	http://localhost/robots.txt		(from )
00:21:32	84061/84061	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202021%2021:21:28%20GMT	http://localhost/wordpress/	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/index.html	(from )
00:21:33	51338/51338	---M--	200	added ('OK')	text/css	etag:%22c88a-5bc2c521764b9%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.6.2	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/wp-includes/css/dist/block-library/style.min4c7e.css	(from http://localhost/wordpress/)
00:21:34	2297/2297	---M--	200	added ('OK')	text/css	etag:%228f9-5bc2c5217e58b%22	http://localhost/wordpress/wp-includes/css/dist/block-library/theme.min.css?ver=5.6.2	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/wp-includes/css/dist/block-library/theme.min4c7e.css	(from http://localhost/wordpress/)
00:21:34	1769/1769	---M--	200	added ('OK')	application/rss+xml	etag:%22e107b79b4a08fcf7f906e0dc304ee22f%22	http://localhost/wordpress/comments/feed/	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
00:21:34	59010/59010	---M--	200	added ('OK')	text/css	etag:%22e682-5bc2c5212a7ed%22	http://localhost/wordpress/wp-includes/css/dashicons.min.css?ver=5.6.2	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/wp-includes/css/dashicons.min4c7e.css	(from http://localhost/wordpress/)
00:21:35	14721/14721	---MC-	200	added ('OK')	application/rss+xml	etag:%22e107b79b4a08fcf7f906e0dc304ee22f%22	http://localhost/wordpress/feed/	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
00:21:35	28723/28723	---M--	200	added ('OK')	text/css	etag:%227033-5bc2a7eed8ed6%22	http://localhost/wordpress/wp-content/plugins/everest-forms/assets/css/everest-forms.css?ver=1.7.3	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/wp-content/plugins/everest-forms/assets/css/everest-forms3e0d.css	(from http://localhost/wordpress/)
00:21:36	80278/80278	---M--	200	added ('OK')	text/css	etag:%2213996-5bc2a773a98ad%22	http://localhost/wordpress/wp-content/themes/colormag/style.css?ver=2.0.5	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/wp-content/themes/colormag/stylec1b4.css	(from http://localhost/wordpress/)
00:21:38	5219/5219	---M--	200	added ('OK')	text/css	etag:%221463-5bc2a773578f8%22	http://localhost/wordpress/wp-content/themes/colormag/js/magnific-popup/magnific-popup.min.css?ver=2.0.5	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/wp-content/themes/colormag/js/magnific-popup/magnific-popup.minc1b4.css	(from http://localhost/wordpress/)
00:21:38	31004/31004	---M--	200	added ('OK')	text/css	etag:%22791c-5bc2a7705a773%22	http://localhost/wordpress/wp-content/themes/colormag/fontawesome/css/font-awesome.min.css?ver=2.0.5	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/wp-content/themes/colormag/fontawesome/css/font-awesome.minc1b4.css	(from http://localhost/wordpress/)
00:21:40	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%222bd8-5bc2c52b9b0c0%22	http://localhost/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://localhost/wordpress/)
00:21:40	822/822	---M--	200	added ('OK')	text/xml	date:Sat,%2027%20Feb%202021%2021:21:39%20GMT	http://localhost/wordpress/xmlrpc.php?rsd	C:/Benim%20Web%20Sitem/deneme/localhost/wordpress/xmlrpc0db0.php	(from http://localhost/wordpress/)
